Bethlehem,31.705791,35.200657
Bisan,32.4950871,35.5043863
Haifa,32.819121799588906,34.9983856
Hebron,31.528901999629703,35.0944873
Jaffa,32.044339499606956,34.7509908
Jenin,32.46188369959473,35.297566
Jericho,31.855990999614317,35.459885099999994
Jerusalem,31.778824199617656,35.2257626
Lod,31.951647,34.9047473
Nablus,32.22455717636057,35.247804857428214
Nazareth,32.7046403,35.2967628
Ramallah,31.898043,35.204269
Ramla,31.9245153,34.8782819
Tiberias,32.7817247,35.5339397
Tulkarm,32.31114679959849,35.02755049999999
